slug,title,category,tags,summary,confusion_point,pattern_rows,article_title,article_lead,exam_points,common_mistakes,memory_tip,related_terms,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer
daiichi-daini-kongou,第一種と第二種の混同,関係法令,第一種;第二種;混同,問題数・範囲・選任を取り違える典型パターンです。,30問と44問を混同しやすい。,"[{""topic"": ""問題数"", ""wrong"": ""二種44問"", ""correct"": ""二種30問"", ""trap"": ""数値誤り""}, {""topic"": ""範囲"", ""wrong"": ""二種に有害"", ""correct"": ""二種は有害以外"", ""trap"": ""範囲誤り""}, {""topic"": ""合格点"", ""wrong"": ""240点"", ""correct"": ""180点"", ""trap"": ""点数誤り""}, {""topic"": ""選任"", ""wrong"": ""二種で有害"", ""correct"": ""一種が有害"", ""trap"": ""選任誤り""}]",第一種と第二種の混同｜第一種,第二種は44問・400点・240点・有害以外です。第一種の数値（44問・400点等）と混同しないよう表を作ってください。,44・400・240をセット;有害以外;44問は一種;選任要件,44問で二種;有害出題;180点不要,「30・180・有害以外＝二種」。,衛生工学衛生管理者（有害業務での選任）;衛生工学衛生管理者（有害業務での選任）;衛生工学衛生管理者（有害業務での選任）,「第一種と第二種の混同」の試験での位置づけは？,第二種は44問・400点・240点・有害以外です。第一種の数値（44問・400点等）と混同しないよう表を作ってください。 試験では44・400・240をセットを軸に、関連条文・数値・主体の取り違えを照合してください。,「第一種と第二種の混同」でよくある誤答パターンは？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では44・400・240をセットをセットで確認してください。,「第一種と第二種の混同」の覚え方・確認手順は？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では44・400・240をセットをセットで確認してください。,「第一種と第二種の混同」の公式情報はどこで確認しますか？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では44・400・240をセットをセットで確認してください。
sangyou-eisei-kongou,産業医と衛生管理者の混同,労働衛生,産業医;衛生管理者,職務・選任・実施主体を取り違えるパターンです。,健診実施者を混同しやすい。,"[{""topic"": ""健診"", ""wrong"": ""衛生管理者が実施"", ""correct"": ""医師・指定医等"", ""trap"": ""主体誤り""}, {""topic"": ""面接"", ""wrong"": ""衛生管理者のみ"", ""correct"": ""産業医・衛生管理者"", ""trap"": ""分担誤り""}, {""topic"": ""選任"", ""wrong"": ""同一人数"", ""correct"": ""規模で異なる"", ""trap"": ""要件誤り""}, {""topic"": ""資格"", ""wrong"": ""同一"", ""correct"": ""医師・衛生管理者"", ""trap"": ""資格誤り""}]",産業医と衛生管理者の混同｜第一種,医学的検査・管理は産業医、労働衛生の総括は衛生管理者が中心です。条文の主語を確認して解いてください。,主体を条文で確認;健診は医師関与;面接指導の分担;選任人数,衛生管理者が診断;産業医不要;資格同一,「医学＝医師」「衛生管理＝衛生管理者」。,産業医（選任・職務・記録・巡視・面接指導）;衛生工学衛生管理者（有害業務での選任）,「産業医と衛生管理者の混同」の試験での位置づけは？,医学的検査・管理は産業医、労働衛生の総括は衛生管理者が中心です。条文の主語を確認して解いてください。 試験では主体を条文で確認を軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「産業医と衛生管理者の混同」でよくある誤答パターンは？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では主体を条文で確認をセットで確認してください。,「産業医と衛生管理者の混同」の覚え方・確認手順は？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では主体を条文で確認をセットで確認してください。,「産業医と衛生管理者の混同」の公式情報はどこで確認しますか？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では主体を条文で確認をセットで確認してください。
kenshin-shuki-kongou,健康診断の周期混同,労働衛生,健康診断;周期,雇入れ時・定期・二次の時期を取り違えるパターンです。,1年以内と雇入れ時を逆にしやすい。,"[{""topic"": ""定期"", ""wrong"": ""3年ごと"", ""correct"": ""1年以内ごと"", ""trap"": ""周期誤り""}, {""topic"": ""雇入れ"", ""wrong"": ""不要"", ""correct"": ""配属前等必須"", ""trap"": ""省略誤り""}, {""topic"": ""二次"", ""wrong"": ""定期と同時"", ""correct"": ""所見後"", ""trap"": ""順序誤り""}, {""topic"": ""保存"", ""wrong"": ""1年"", ""correct"": ""期間は別規定"", ""trap"": ""保存誤り""}]",健康診断の周期混同｜第一種,雇入れ時・定期・二次・保存期間は数値問題の定番です。総まとめ一覧と過去問で暗記してください。,雇入れ＋定期;二次はフォロー;保存期間;総まとめ参照,周期を逆に覚える;雇入れ時を省略;二次健診不要とする,「雇入れ→定期→二次」の順。,雇入時健康診断（直前3月以内省略可）;定期健康診断／雇入時／特殊健康診断;健康診断事後措置,「健康診断の周期混同」の試験での位置づけは？,雇入れ時・定期・二次・保存期間は数値問題の定番です。総まとめ一覧と過去問で暗記してください。 試験では雇入れ＋定期を軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「健康診断の周期混同」でよくある誤答パターンは？,周期を逆に覚える;雇入れ時を省略;二次健診不要とする 誤答肢では二次はフォローの主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「健康診断の周期混同」の覚え方・確認手順は？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では雇入れ＋定期をセットで確認してください。 誤答では周期を逆に覚えるに注意してください。,「健康診断の周期混同」の公式情報はどこで確認しますか？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では雇入れ＋定期をセットで確認してください。 誤答では周期を逆に覚えるに注意してください。
iinkai-ninzu-kongou,委員会の人数基準混同,関係法令,安全衛生委員会;人数,50人・10人の基準を逆にするパターンです。,安衛委と衛生委員会の人数を混同。,"[{""topic"": ""50人"", ""wrong"": ""衛生委員会"", ""correct"": ""安全衛生委員会"", ""trap"": ""基準逆""}, {""topic"": ""10人"", ""wrong"": ""安衛委"", ""correct"": ""衛生委員会"", ""trap"": ""基準逆""}, {""topic"": ""記録"", ""wrong"": ""不要"", ""correct"": ""会議録等"", ""trap"": ""記録誤り""}, {""topic"": ""構成"", ""wrong"": ""同一"", ""correct"": ""異なる"", ""trap"": ""構成誤り""}]",委員会人数基準の混同｜第一種,50人以上は安全衛生委員会、10人以上50人未満は衛生委員会が基本です。人数表を作成して暗記してください。,50と10をセット;記録義務;構成の違い;例外確認,人数基準を逆にする;会議録不要とする;同一機関と誤解,「50＝安衛委」「10〜49＝衛生委員会」。,衛生委員会／安全衛生委員会;衛生委員会,「委員会の人数基準混同」の試験での位置づけは？,50人以上は安全衛生委員会、10人以上50人未満は衛生委員会が基本です。人数表を作成して暗記してください。 試験では50と10をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「委員会の人数基準混同」でよくある誤答パターンは？,人数基準を逆にする;会議録不要とする;同一機関と誤解 誤答肢では記録義務の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「委員会の人数基準混同」の覚え方・確認手順は？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では50と10をセットをセットで確認してください。,「委員会の人数基準混同」の公式情報はどこで確認しますか？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では50と10をセットをセットで確認してください。
goukaku-180-240,合格点の混同,関係法令,合格基準,第一種の240点と第二種の180点を混同するパターンです。,60％だけ覚えて総点を間違える。,"[{""topic"": ""二種総点"", ""wrong"": ""240点"", ""correct"": ""180点"", ""trap"": ""点数誤り""}, {""topic"": ""一種総点"", ""wrong"": ""180点"", ""correct"": ""240点等"", ""trap"": ""点数誤り""}, {""topic"": ""科目"", ""wrong"": ""不要"", ""correct"": ""各40点以上"", ""trap"": ""足切り""}, {""topic"": ""問題"", ""wrong"": ""44問"", ""correct"": ""30問"", ""trap"": ""問数誤り""}]",合格点の混同｜第一種,第一種は400点満点・240点合格・各科目40点以上です。第二種の数値と混同しないでください。,240・40・44をセット;60％は両方;足切り注意,180点で一種;科目別無視;44問,「二種＝180/300/30問」。,衛生管理者（選任・常勤・専任・資格区分）;衛生工学衛生管理者（有害業務での選任）,「合格点の混同」の試験での位置づけは？,第一種は400点満点・240点合格・各科目40点以上です。第二種の数値と混同しないでください。 試験では240・40・44をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「合格点の混同」でよくある誤答パターンは？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では240・40・44をセットをセットで確認してください。,「合格点の混同」の覚え方・確認手順は？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では240・40・44をセットをセットで確認してください。,「合格点の混同」の公式情報はどこで確認しますか？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では240・40・44をセットをセットで確認してください。
kyokusho-zenmen-kongou,局所排気と全面換気の混同,労働衛生,局所排気;換気,優先順位・原理を取り違えるパターンです。,全面換気のみで十分とする誤り。,"[{""topic"": ""優先"", ""wrong"": ""全面優先"", ""correct"": ""局所排気優先"", ""trap"": ""順位誤り""}, {""topic"": ""原理"", ""wrong"": ""希釈＝局所"", ""correct"": ""吸引＝局所"", ""trap"": ""原理誤り""}, {""topic"": ""設備"", ""wrong"": ""不要"", ""correct"": ""組み合わせ"", ""trap"": ""設備誤り""}, {""topic"": ""測定"", ""wrong"": ""無関係"", ""correct"": ""管理濃度"", ""trap"": ""測定無視""}]",局所排気と全面換気の混同｜第一種,発生源には局所排気を優先し、必要に応じ全面換気で希釈します。設問のキーワードで判断してください。,局所優先;全面は希釈;換気量;測定と連動,全面換気のみで足りる;局所排気不要;優先順位を逆にする,「局所→全面」の順。,局所排気装置;プッシュプル型換気,「局所排気と全面換気の混同」の試験での位置づけは？,発生源には局所排気を優先し、必要に応じ全面換気で希釈します。設問のキーワードで判断してください。 試験では局所優先を軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「局所排気と全面換気の混同」でよくある誤答パターンは？,全面換気のみで足りる;局所排気不要;優先順位を逆にする 誤答肢では全面は希釈の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「局所排気と全面換気の混同」の覚え方・確認手順は？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では局所優先をセットで確認してください。 誤答では全面換気のみで足りるに注意してください。,「局所排気と全面換気の混同」の公式情報はどこで確認しますか？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では局所優先をセットで確認してください。 誤答では全面換気のみで足りるに注意してください。
yugai-gaihan-kongou,第一種範囲と有害業務の混同,関係法令,有害業務;出題範囲,第二種で有害業務が出ると誤解するパターンです。,特定化学物質を第二種で深掘りしすぎ。,"[{""topic"": ""出題"", ""wrong"": ""二種に有害"", ""correct"": ""二種は有害以外"", ""trap"": ""範囲誤り""}, {""topic"": ""選任"", ""wrong"": ""一種で有害担当"", ""correct"": ""一種"", ""trap"": ""選任誤り""}, {""topic"": ""試験"", ""wrong"": ""44問"", ""correct"": ""30問"", ""trap"": ""問数誤り""}, {""topic"": ""学習"", ""wrong"": ""有害中心"", ""correct"": ""有害以外中心"", ""trap"": ""配分誤り""}]",第一種範囲の混同｜第一種,第二種試験の出題は有害業務を除きます。有害業務は第一種・選任要件の理解のために比較で学びます。,出題は有害含む5範囲;44問;二種は有害以外;比較で境界確認,有害を二種出題と誤解;30問で一種;有害以外のみ学習,「学習＝有害以外、比較＝有害」。,衛生工学衛生管理者（有害業務での選任）;衛生管理者（選任・常勤・専任・資格区分）;衛生工学衛生管理者（有害業務での選任）,「第一種範囲と有害業務の混同」の試験での位置づけは？,第二種試験の出題は有害業務を除きます。有害業務は第一種・選任要件の理解のために比較で学びます。 試験では出題は有害含む5範囲を軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「第一種範囲と有害業務の混同」でよくある誤答パターンは？,有害を二種出題と誤解;30問で一種;有害以外のみ学習 誤答肢では44問の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「第一種範囲と有害業務の混同」の覚え方・確認手順は？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では出題は有害含む5範囲をセットで確認してください。,「第一種範囲と有害業務の混同」の公式情報はどこで確認しますか？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では出題は有害含む5範囲をセットで確認してください。
senmu-kongou,専任・巡視の混同,労働衛生,専任;巡視,専任性・巡視義務を無視するパターンです。,兼務自由と誤解しやすい。,"[{""topic"": ""専任"", ""wrong"": ""兼務自由"", ""correct"": ""原則専任"", ""trap"": ""専任誤り""}, {""topic"": ""巡視"", ""wrong"": ""不要"", ""correct"": ""定期巡視"", ""trap"": ""巡視誤り""}, {""topic"": ""委託"", ""wrong"": ""不可"", ""correct"": ""条件付き可"", ""trap"": ""委託誤り""}, {""topic"": ""選任"", ""wrong"": ""不要"", ""correct"": ""選任必須"", ""trap"": ""選任誤り""}]",専任・巡視の混同｜第一種,衛生管理者は専任・巡視等の要件が重要です。兼務の可否は条文の例外を含めて整理してください。,専任原則;巡視義務;委託条件;選解任,兼務無制限;巡視不要;選任不要,「専任・巡視」をセット暗記。,専任の衛生管理者（有害業務30人超）;衛生管理者（選任・常勤・専任・資格区分）,「専任・巡視の混同」の試験での位置づけは？,衛生管理者は専任・巡視等の要件。兼務の可否は条文の例外を含めて整理してください。 試験では専任原則を軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「専任・巡視の混同」でよくある誤答パターンは？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では専任原則をセットで確認してください。 誤答では兼務無制限に注意してください。,「専任・巡視の混同」の覚え方・確認手順は？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では専任原則をセットで確認してください。 誤答では兼務無制限に注意してください。,「専任・巡視の混同」の公式情報はどこで確認しますか？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では専任原則をセットで確認してください。 誤答では兼務無制限に注意してください。
stress-kenshin-kongou,ストレスチェックと健診の混同,関係法令,ストレスチェック;健康診断,制度目的・実施方法を同一視するパターンです。,健診票でストレスのみ測定と誤解。,"[{""topic"": ""目的"", ""wrong"": ""同一"", ""correct"": ""心理／身体で異なる"", ""trap"": ""目的誤り""}, {""topic"": ""実施"", ""wrong"": ""医師のみ"", ""correct"": ""事業者実施等"", ""trap"": ""主体誤り""}, {""topic"": ""記録"", ""wrong"": ""同一"", ""correct"": ""それぞれ規定"", ""trap"": ""記録誤り""}, {""topic"": ""フォロー"", ""wrong"": ""不要"", ""correct"": ""面接指導等"", ""trap"": ""措置誤り""}]",ストレスチェックと健診の混同｜第一種,メンタルヘルス対策（ストレスチェック）と身体健康管理（健診）は別制度です。比較表で整理してください。,目的が異なる;実施手順;面接指導;健診と併用,同一制度と誤解;健診で代替;措置不要とする,「心理＝ストレス」「身体＝健診」。,ストレスチェック（年1回以上・50人以上）;定期健康診断／雇入時／特殊健康診断,「ストレスチェックと健診の混同」の試験での位置づけは？,メンタルヘルス対策（ストレスチェック）と身体健康管理（健診）は別制度です。比較表で整理してください。 試験では目的が異なるを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「ストレスチェックと健診の混同」でよくある誤答パターンは？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では目的が異なるをセットで確認してください。 誤答では同一制度と誤解に注意してください。,「ストレスチェックと健診の混同」の覚え方・確認手順は？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では目的が異なるをセットで確認してください。 誤答では同一制度と誤解に注意してください。,「ストレスチェックと健診の混同」の公式情報はどこで確認しますか？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では目的が異なるをセットで確認してください。 誤答では同一制度と誤解に注意してください。
risk-chosa-kongou,リスクアセスメント手順の混同,労働衛生,リスクアセスメント,調査とアセスメントの順序を逆にするパターンです。,措置だけで調査省略と誤解。,"[{""topic"": ""順序"", ""wrong"": ""措置→調査"", ""correct"": ""調査→評価→措置"", ""trap"": ""順序誤り""}, {""topic"": ""義務"", ""wrong"": ""不要"", ""correct"": ""一定規模で実施"", ""trap"": ""義務誤り""}, {""topic"": ""SDS"", ""wrong"": ""不要"", ""correct"": ""交付・表示"", ""trap"": ""SDS誤り""}, {""topic"": ""ばく露"", ""wrong"": ""無視"", ""correct"": ""見積り"", ""trap"": ""評価誤り""}]",リスクアセスメント手順の混同｜第一種,化学物質管理は調査・リスクアセスメント・表示・教育等の一連手順です。順序を図示して暗記してください。,調査→評価→措置;ばく露見積り;SDS;記録,措置のみで足りる;手順を逆にする;SDS不要とする,「調査→見積り→措置」。,リスクアセスメント（化学・作業環境）;リスクアセスメント（化学・作業環境）,「リスクアセスメント手順の混同」の試験での位置づけは？,化学物質管理は調査・リスクアセスメント・表示・教育等の一連手順です。順序を図示して暗記してください。 試験では調査→評価→措置を軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「リスクアセスメント手順の混同」でよくある誤答パターンは？,措置のみで足りる;手順を逆にする;SDS不要とする 誤答肢ではばく露見積りの主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「リスクアセスメント手順の混同」の覚え方・確認手順は？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では調査→評価→措置をセットで確認してください。,「リスクアセスメント手順の混同」の公式情報はどこで確認しますか？,試験論点・条文・数値の対応を比較表に整理し、過去問で正誤の型を分類してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。 試験では調査→評価→措置をセットで確認してください。
