question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
1,single,労働生理,演習;労働生理,労働生理における赤血球に関する次の記述のうち、正しいものはどれか。,,,,,,赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。,血小板は酸素を全身に運搬する主要な血球である。,右心室から送り出された血液は、大動脈を通って全身へ送られる。,交感神経が優位になると、一般に心拍数は大きく低下する。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,1,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは1です。,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは1です。,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは1です。,2:（2）の内容は、正答（1）「赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは1です。 正答（1）との違いを確認し直してください。;3:（3）の内容は、正答（1）「赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは1です。 正答（1）との違いを確認し直してください。;4:（4）の内容は、正答（1）「赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは1です。 正答（1）との違いを確認し直してください。;5:（5）の内容は、正答（1）「赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは1です。 正答（1）との違いを確認し直してください。,
2,single,労働生理,演習;労働生理,労働生理における赤血球に関する次の記述のうち、誤っているものはどれか。,,,,,,吸気時には横隔膜が収縮して下がり、胸郭の容積が大きくなる。,自律神経系は、交感神経系と副交感神経系に大別される。,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,赤血球は抗体を産生して免疫反応の中心となる。,骨格筋は随意筋であり、意思によって動かすことができる。,4,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは4です。,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは4です。,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは4です。,1:（1）の内容は、正答（4）「赤血球は抗体を産生して免疫反応の中心となる。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは4です。 正答（4）との違いを確認し直してください。;2:（2）の内容は、正答（4）「赤血球は抗体を産生して免疫反応の中心となる。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは4です。 正答（4）との違いを確認し直してください。;3:（3）の内容は、正答（4）「赤血球は抗体を産生して免疫反応の中心となる。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは4です。 正答（4）との違いを確認し直してください。;5:（5）の内容は、正答（4）「赤血球は抗体を産生して免疫反応の中心となる。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは4です。 正答（4）との違いを確認し直してください。,
3,single,労働生理,演習;労働生理,労働生理における赤血球に関する次の記述のうち、適切なものはどれか。,,,,,,吸気時には横隔膜が弛緩して上がり、胸郭の容積が小さくなる。,自律神経系は、大脳皮質と小脳だけから構成される。,肝臓はインスリンを分泌して血糖値を直接低下させる。,骨格筋は不随意筋であり、意思によって全く動かせない。,赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。,5,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは5です。,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは5です。,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは5です。,1:（1）の内容は、正答（5）「赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは5です。 正答（5）との違いを確認し直してください。;2:（2）の内容は、正答（5）「赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは5です。 正答（5）との違いを確認し直してください。;3:（3）の内容は、正答（5）「赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは5です。 正答（5）との違いを確認し直してください。;4:（4）の内容は、正答（5）「赤血球はヘモグロビンを含み、主に酸素の運搬に関与する。」が示す論点とずれています。 解説の要点：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、正しいものは5です。 正答（5）との違いを確認し直してください。,
4,single,労働生理,演習;労働生理,労働生理における赤血球に関する次の記述のうち、不適切なものはどれか。,,,,,,肺静脈には、肺で酸素を取り込んだ血液が流れる。,副交感神経が優位になると、一般に消化管運動は促進されやすい。,赤血球は抗体を産生して免疫反応の中心となる。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,3,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは3です。,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは3です。,赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは3です。,1:（1）「肺静脈には、肺で酸素を取り込んだ血液が流れる。」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（3）「赤血球は抗体を産生して免疫反応の中心となる。」です。解説のポイント：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは3です。;2:（2）「副交感神経が優位になると、一般に消化管運動は促進されやすい。」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（3）「赤血球は抗体を産生して免疫反応の中心となる。」です。解説のポイント：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは3です。;4:（4）「腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（3）「赤血球は抗体を産生して免疫反応の中心となる。」です。解説のポイント：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは3です。;5:（5）「暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（3）「赤血球は抗体を産生して免疫反応の中心となる。」です。解説のポイント：赤血球の主な働きは酸素運搬であり、抗体産生は主にリンパ球などが担います。 したがって、誤っているものは3です。,
5,single,労働生理,演習;労働生理,労働生理における白血球に関する次の記述のうち、正しいものはどれか。,,,,,,肺胞では、血液中の酸素が肺胞内へ移動し、肺胞内の二酸化炭素が血液中へ移動する。,白血球は、細菌などに対する生体防御に関与する。,肺静脈には、全身から戻った酸素の少ない血液が流れる。,副交感神経が優位になると、一般に消化管運動は停止する。,腎臓は胆汁を生成して脂肪の消化を助ける。,2,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは2です。,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは2です。,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは2です。,1:（1）の内容は、正答（2）「白血球は、細菌などに対する生体防御に関与する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは2です。 正答（2）との違いを確認し直してください。;3:（3）の内容は、正答（2）「白血球は、細菌などに対する生体防御に関与する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは2です。 正答（2）との違いを確認し直してください。;4:（4）の内容は、正答（2）「白血球は、細菌などに対する生体防御に関与する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは2です。 正答（2）との違いを確認し直してください。;5:（5）の内容は、正答（2）「白血球は、細菌などに対する生体防御に関与する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは2です。 正答（2）との違いを確認し直してください。,
6,single,労働生理,演習;労働生理,労働生理における白血球に関する次の記述のうち、誤っているものはどれか。,,,,,,左心室から送り出された血液は、大動脈を通って全身へ送られる。,交感神経が優位になると、一般に心拍数は増加しやすい。,膵臓のランゲルハンス島から分泌されるインスリンは、血糖値を低下させる。,心筋は不随意筋であり、規則的な拍動を行う。,白血球は血液凝固の主役であり、血栓を形成する。,5,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは5です。,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは5です。,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは5です。,1:（1）の内容は、正答（5）「白血球は血液凝固の主役であり、血栓を形成する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは5です。 正答（5）との違いを確認し直してください。;2:（2）の内容は、正答（5）「白血球は血液凝固の主役であり、血栓を形成する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは5です。 正答（5）との違いを確認し直してください。;3:（3）の内容は、正答（5）「白血球は血液凝固の主役であり、血栓を形成する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは5です。 正答（5）との違いを確認し直してください。;4:（4）の内容は、正答（5）「白血球は血液凝固の主役であり、血栓を形成する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは5です。 正答（5）との違いを確認し直してください。,
7,single,労働生理,演習;労働生理,労働生理における白血球に関する次の記述のうち、適切なものはどれか。,,,,,,白血球は、細菌などに対する生体防御に関与する。,右心室から送り出された血液は、大動脈を通って全身へ送られる。,交感神経が優位になると、一般に心拍数は大きく低下する。,膵臓は尿素を生成してアンモニアを解毒する主な臓器である。,心筋は随意筋であり、意思によって拍動を停止できる。,1,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは1です。,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは1です。,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは1です。,2:（2）の内容は、正答（1）「白血球は、細菌などに対する生体防御に関与する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは1です。 正答（1）との違いを確認し直してください。;3:（3）の内容は、正答（1）「白血球は、細菌などに対する生体防御に関与する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは1です。 正答（1）との違いを確認し直してください。;4:（4）の内容は、正答（1）「白血球は、細菌などに対する生体防御に関与する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは1です。 正答（1）との違いを確認し直してください。;5:（5）の内容は、正答（1）「白血球は、細菌などに対する生体防御に関与する。」が示す論点とずれています。 解説の要点：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、正しいものは1です。 正答（1）との違いを確認し直してください。,
8,single,労働生理,演習;労働生理,労働生理における白血球に関する次の記述のうち、不適切なものはどれか。,,,,,,自律神経系は、交感神経系と副交感神経系に大別される。,肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。,骨格筋は随意筋であり、意思によって動かすことができる。,白血球は血液凝固の主役であり、血栓を形成する。,発汗が多い作業では、水分だけでなく塩分の補給も重要となる。,4,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは4です。,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは4です。,白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは4です。,1:（1）「自律神経系は、交感神経系と副交感神経系に大別される。」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（4）「白血球は血液凝固の主役であり、血栓を形成する。」です。解説のポイント：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは4です。;2:（2）「肝臓は、胆汁の生成、解毒、グリコーゲンの貯蔵などに関与する。」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（4）「白血球は血液凝固の主役であり、血栓を形成する。」です。解説のポイント：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは4です。;3:（3）「骨格筋は随意筋であり、意思によって動かすことができる。」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（4）「白血球は血液凝固の主役であり、血栓を形成する。」です。解説のポイント：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは4です。;5:（5）「発汗が多い作業では、水分だけでなく塩分の補給も重要となる。」は、設問の趣旨では適切な記述・対応に当たることが多いです。本問は「最も不適切なもの」を選ぶ形式のため、正答は（4）「白血球は血液凝固の主役であり、血栓を形成する。」です。解説のポイント：白血球は免疫・防御に関与します。血液凝固に重要なのは血小板や凝固因子です。 したがって、誤っているものは4です。,
9,single,労働生理,演習;労働生理,労働生理における血小板に関する次の記述のうち、正しいものはどれか。,,,,,,吸気時には横隔膜が弛緩して上がり、胸郭の容積が小さくなる。,自律神経系は、大脳皮質と小脳だけから構成される。,血小板は、出血時の止血や血液凝固に関与する。,肝臓はインスリンを分泌して血糖値を直接低下させる。,骨格筋は不随意筋であり、意思によって全く動かせない。,3,血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、正しいものは3です。,血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、正しいものは3です。,血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、正しいものは3です。,1:（1）の内容は、正答（3）「血小板は、出血時の止血や血液凝固に関与する。」が示す論点とずれています。 解説の要点：血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、正しいものは3です。 正答（3）との違いを確認し直してください。;2:（2）の内容は、正答（3）「血小板は、出血時の止血や血液凝固に関与する。」が示す論点とずれています。 解説の要点：血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、正しいものは3です。 正答（3）との違いを確認し直してください。;4:（4）の内容は、正答（3）「血小板は、出血時の止血や血液凝固に関与する。」が示す論点とずれています。 解説の要点：血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、正しいものは3です。 正答（3）との違いを確認し直してください。;5:（5）の内容は、正答（3）「血小板は、出血時の止血や血液凝固に関与する。」が示す論点とずれています。 解説の要点：血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、正しいものは3です。 正答（3）との違いを確認し直してください。,
10,single,労働生理,演習;労働生理,労働生理における血小板に関する次の記述のうち、誤っているものはどれか。,,,,,,血小板は酸素を全身に運搬する主要な血球である。,肺静脈には、肺で酸素を取り込んだ血液が流れる。,副交感神経が優位になると、一般に消化管運動は促進されやすい。,腎臓は、尿の生成を通じて老廃物の排泄や体液の調節に関与する。,暑熱時には、発汗や皮膚血管の拡張により体熱の放散が促進される。,1,血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、誤っているものは1です。,血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、誤っているものは1です。,血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、誤っているものは1です。,2:（2）の内容は、正答（1）「血小板は酸素を全身に運搬する主要な血球である。」が示す論点とずれています。 解説の要点：血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、誤っているものは1です。 正答（1）との違いを確認し直してください。;3:（3）の内容は、正答（1）「血小板は酸素を全身に運搬する主要な血球である。」が示す論点とずれています。 解説の要点：血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、誤っているものは1です。 正答（1）との違いを確認し直してください。;4:（4）の内容は、正答（1）「血小板は酸素を全身に運搬する主要な血球である。」が示す論点とずれています。 解説の要点：血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、誤っているものは1です。 正答（1）との違いを確認し直してください。;5:（5）の内容は、正答（1）「血小板は酸素を全身に運搬する主要な血球である。」が示す論点とずれています。 解説の要点：血小板は止血に関与します。酸素運搬を担うのは赤血球です。 したがって、誤っているものは1です。 正答（1）との違いを確認し直してください。,
