hub_file,slug,title,highlight,values,flags,verified
numbers.csv,shiken-44mon-400ten,第一種筆記試験の問題数・配点,44問・400点・240点,30問 | 400点 | 240点以上 | 各40点以上,verify_official,OK
numbers.csv,juken-8800,受験手数料,"8,800円（非課税）","8,800円 | オンライン中心 | 原則不可 | 24×30mm",verify_official,OK
numbers.csv,jikan-3jikan,試験時間,3時間（科目免除は短縮）,3時間 | 2時間15分 | 44問 | 5肢択一,verify_official,OK
numbers.csv,kamoku-10zu,44問・5範囲,各科目10問,要項参照 | 要項参照 | 要項参照,,
numbers.csv,teiki-kenshin-shuki,定期健康診断の実施周期,1年以内ごと（目安）,1年以内ごと | 配属前等 | 期間あり | 再検査・配慮,verify_official,OK
numbers.csv,anzen-eisei-50nin,安全衛生委員会の設置基準,常時50人以上,50人以上 | 10人以上50人未満 | 会議録保存 | 委員長等,verify_official,OK
numbers.csv,stress-50nin,ストレスチェックの実施要件,50人以上等（要確認）,50人以上等 | 事業者 | 個人情報保護 | 面接指導,verify_official,OK
numbers.csv,kankyo-sokutei-hindo,作業環境測定の頻度,管理区分で異なる,年2回等 | 年1回等 | 原則不要等 | 測定記録保存,verify_official,OK-practice
numbers.csv,jikoku-kinmu,時効・勤務に関する数値（労基法連動）,8時間・40時間等,1日8時間・週40時間 | 6時間超45分等 | 協定・上限 | 年次有給休暇,maybe_missing_digit;verify_official,OK
numbers.csv,taicho-kinsetsu,体温・近接の生理数値,深部体温37℃前後,約37℃ | 範囲あり | WBGT基準 | 作業負荷,verify_official,OK-practice
numbers.csv,mensetsu-80jikan,長時間労働者面接指導の80時間基準,80時間・100時間,100時間超 | 80時間超 | 面接指導等 | 36協定,verify_official,OK
numbers.csv,noise-85-90-db,騒音管理の85dB・90dB,85dB・90dB,85dB(A)前後 | 90dB(A)前後 | 等価騒音レベル | 聴力検査,verify_official,OK
numbers.csv,wbgt-31-33,WBGT基準値（31℃・33℃等）,31℃・33℃,33℃前後 | 31℃前後 | 休憩・水分 | WBGT,verify_official,OK
numbers.csv,yukyu-6month-10,年次有給休暇の付与（6か月・10日）,6か月・10日,6か月 | 10日 | 80％ | 時間外・休憩,maybe_missing_digit;verify_official,OK
numbers.csv,kiroku-kenko-5year,健康診断記録の保存期間,5年（代表値）,5年 | 3年等 | 別規定 | 一覧参照,verify_official,OK
numbers.csv,sagyo-kankyo-3year,作業環境測定記録の保存期間,3年（代表値）,3年 | 記載義務 | 第1〜第3 | 5年等,verify_official,OK
numbers.csv,jikangai-100-month,月100時間の時間外労働上限,月100時間,100時間 | 80時間 | 36協定 | 面接指導,verify_official,OK
numbers.csv,acid-18-percent,酸素濃度18％と保護具選択,18％未満,18％未満 | 送気式等 | 酸素濃度測定 | 換気・送気,verify_official,OK
numbers.csv,tensu-40-daiichi,科目別40点の足切り,各科目40点以上,40点以上 | 180点以上 | 各10問 | バランス学習,verify_official,OK
numbers.csv,daiichi-44mon-haibun-extra,衛生管理者の選任（部長発令から1年）,1年以内,1年以内 | 原則 | 手続あり | 条件あり,verify_official,OK-practice
numbers.csv,daiichi-goukaku-240,第一種合格240点・各40点,240点・各40点以上,240点以上 | 40点以上 | 44問 | バランス学習,verify_official,OK
numbers.csv,senmu-yugai-30nin,有害業務30人超の専任要件,30人超・専任,30人超 | 原則専任 | 第一種 | 定期巡視,verify_official,OK
numbers.csv,tokutei-daini-sokutei,特定化学物質第二種の測定頻度,管理区分で異なる,年2回等 | 年1回等 | 3年保存等 | 超過時措置,verify_official,OK-practice
numbers.csv,yukibaiyo-dai1-nen2,有機溶剤第1管理区分の測定頻度,年2回（代表値）,年2回 | 年1回 | 原則不要等 | 設置・維持,verify_official,OK
numbers.csv,lead-kenshin-cycle,鉛健康診断の実施周期,6か月ごと等（代表値）,6か月ごと等 | 鉛業務従事者 | 1年以内ごと | 5年等,verify_official,OK-practice
numbers.csv,ishiwa-kenshin-shuki,石綿健康診断の周期,6か月ごと等（代表値）,6か月ごと等 | 石綿ばく露業務 | 胸部X線等 | 5年等,verify_official,OK-practice
numbers.csv,kanri1-nen2kai,第1管理区分の年2回測定,年2回,年2回 | 年1回 | 原則不要等 | 3年,verify_official,OK
numbers.csv,daiichi-haibun-mon,第一種44問の範囲別配分,5範囲・44問,44問 | 5範囲 | 400点 | 各40点,verify_official,OK
